query_id,species_key,author,top1_match,max_similarity,total_relevant_in_gallery,reciprocal_rank,P@10,R@10,AP@10,representation
XC433819,greant1,Marcelo Jordani Feliti,greant1,0.9869853258132935,223,1.0,0.7,0.03139013452914798,0.5508730158730158,R0
XC123928,greant1,GABRIEL LEITE,greant1,0.9878556728363037,223,1.0,0.1,0.004484304932735426,0.1,R0
XC489684,greant1,Jacob Wijpkema,squcuc1,0.9945744276046753,223,0.5,0.3,0.013452914798206279,0.12333333333333334,R0
XC452472,greant1,Marcelo Jordani Feliti,greant1,0.9908638596534729,223,1.0,0.3,0.013452914798206279,0.16190476190476188,R0
XC616309,greant1,Fabrice Schmitt,soulap1,0.9969465732574463,223,0.0196078431372549,0.0,0.0,0.0,R0
XC118887,greant1,GABRIEL LEITE,greant1,0.991569995880127,223,1.0,0.3,0.013452914798206279,0.24285714285714283,R0
XC294719,squcuc1,Douglas Meyer,bobfly1,0.9900006055831909,231,0.25,0.1,0.004329004329004329,0.025,R0
XC294724,squcuc1,Douglas Meyer,squcuc1,0.9961316585540771,231,1.0,0.4,0.017316017316017316,0.24,R0
XC940505,squcuc1,Kauê Werner,pirfly1,0.9897462129592896,231,0.25,0.3,0.012987012987012988,0.07722222222222222,R0
XC216157,squcuc1,Amanda Perin Marcon,baffal1,0.9859380125999451,231,0.025,0.0,0.0,0.0,R0
XC549930,squcuc1,Bernabe Lopez-Lanus,barant1,0.9920487403869629,231,0.16666666666666666,0.2,0.008658008658008658,0.03666666666666667,R0
XC549933,squcuc1,Bernabe Lopez-Lanus,squcuc1,0.9983453154563904,231,1.0,0.5,0.021645021645021644,0.28174603174603174,R0
XC549936,squcuc1,Bernabe Lopez-Lanus,yeofly1,0.9960785508155823,231,0.2,0.1,0.004329004329004329,0.02,R0
XC247099,squcuc1,Joe Klaiber,banana,0.9953690767288208,231,0.007633587786259542,0.0,0.0,0.0,R0
XC246934,squcuc1,Joe Klaiber,strcuc1,0.9984722137451172,231,0.05,0.0,0.0,0.0,R0
XC656889,squcuc1,Luiz Fernando Matos,yeofly1,0.9933474063873291,231,0.045454545454545456,0.0,0.0,0.0,R0
XC299640,roahaw,Patrice Adret,sobtyr1,0.9966417551040649,159,0.3333333333333333,0.3,0.018867924528301886,0.1161904761904762,R0
XC372463,roahaw,Kent Livezey,bobfly1,0.9928330183029175,159,0.25,0.1,0.006289308176100629,0.025,R0
XC288830,roahaw,Diego Cueva,linwoo1,0.9965910315513611,159,0.5,0.1,0.006289308176100629,0.05,R0
XC129438,roahaw,Oscar Humberto Marin-Gomez,roahaw,0.9974905252456665,159,1.0,0.4,0.025157232704402517,0.3,R0
XC772769,roahaw,Sue Riffe,pabspi1,0.9916706681251526,159,0.08333333333333333,0.0,0.0,0.0,R0
XC716349,roahaw,Marcelo da Rocha,bobfly1,0.9935100674629211,159,0.5,0.2,0.012578616352201259,0.07857142857142857,R0
XC340156,roahaw,GABRIEL LEITE,bobfly1,0.9955291748046875,159,0.16666666666666666,0.2,0.012578616352201259,0.04523809523809523,R0
XC680705,roahaw,GABRIEL LEITE,yeofly1,0.9980109333992004,159,0.125,0.1,0.006289308176100629,0.0125,R0
XC235156,roahaw,cesar villamil,squcuc1,0.9971916675567627,159,0.022222222222222223,0.0,0.0,0.0,R0
XC19527,roahaw,Niels Krabbe,baffal1,0.9933927059173584,159,0.125,0.1,0.006289308176100629,0.0125,R0
XC738930,trsowl,Adrian Antunez,coffal1,0.9925829768180847,165,0.07142857142857142,0.0,0.0,0.0,R0
XC428741,trsowl,Diego Cueva,sobtyr1,0.9922663569450378,165,0.5,0.2,0.012121212121212121,0.075,R0
XC597121,trsowl,Marcela Morales sánchez,gycwor1,0.989556610584259,165,0.3333333333333333,0.1,0.006060606060606061,0.03333333333333333,R0
XC549975,trsowl,Bernabe Lopez-Lanus,coffal1,0.9952558279037476,165,0.14285714285714285,0.1,0.006060606060606061,0.014285714285714285,R0
XC135491,trsowl,William Adsett ,sobtyr1,0.9934178590774536,165,0.125,0.1,0.006060606060606061,0.0125,R0
XC572606,trsowl,Odirlei Vieira da Fonseca,banana,0.9808448553085327,165,0.5,0.1,0.006060606060606061,0.05,R0
XC236394,trsowl,Odirlei Vieira da Fonseca,baffal1,0.9899905323982239,165,0.3333333333333333,0.1,0.006060606060606061,0.03333333333333333,R0
XC447808,trsowl,Kent Livezey,bobfly1,0.9959837794303894,165,0.2,0.1,0.006060606060606061,0.02,R0
XC619067,trsowl,Capovilla Pablo H,banana,0.9879701137542725,165,0.2,0.1,0.006060606060606061,0.02,R0
XC730130,trsowl,Brian Cox,trsowl,0.990382194519043,165,1.0,0.3,0.01818181818181818,0.1775,R0
XC756928,banana,Igor Lazo,yeofly1,0.9951557517051697,203,0.25,0.4,0.019704433497536946,0.13583333333333333,R0
XC190593,banana,Gabriel Rosa,banana,0.9913076758384705,203,1.0,0.7,0.034482758620689655,0.5313095238095238,R0
XC247112,banana,Joe Klaiber,greant1,0.9960170984268188,203,0.03125,0.0,0.0,0.0,R0
XC561261,banana,Steve Hampton,squcuc1,0.9946627020835876,203,0.1111111111111111,0.1,0.0049261083743842365,0.01111111111111111,R0
XC127164,banana,pedrotêia,sobtyr1,0.9950942397117615,203,0.5,0.4,0.019704433497536946,0.16083333333333333,R0
XC169559,banana,GABRIEL LEITE,banana,0.9948195219039917,203,1.0,0.2,0.009852216748768473,0.13999999999999999,R0
XC241562,banana,Oscar Humberto Marín Gómez,banana,0.9971753358840942,203,1.0,0.6,0.029556650246305417,0.5233333333333332,R0
XC924739,banana,Sue Riffe,bobfly1,0.9926317930221558,203,0.5,0.6,0.029556650246305417,0.36583333333333334,R0
XC541448,banana,Cristhian David Gaitán García,yeofly1,0.9952471852302551,203,0.125,0.1,0.0049261083743842365,0.0125,R0
XC215467,banana,Terry Davis,whtdov,0.9970096349716187,203,0.5,0.2,0.009852216748768473,0.1,R0
XC29087,baffal1,Niels Krabbe,squcuc1,0.9950118660926819,181,0.125,0.1,0.0055248618784530384,0.0125,R0
XC29088,baffal1,Niels Krabbe,sobtyr1,0.9937542676925659,181,0.3333333333333333,0.2,0.011049723756906077,0.05333333333333333,R0
XC235886,baffal1,Niels Krabbe,barant1,0.9944848418235779,181,0.3333333333333333,0.3,0.016574585635359115,0.09666666666666665,R0
XC437953,baffal1,George Wagner,barant1,0.9942381978034973,181,0.3333333333333333,0.3,0.016574585635359115,0.08555555555555557,R0
XC192816,baffal1,Kassius Santos,baffal1,0.9971920847892761,181,1.0,0.6,0.03314917127071823,0.40888888888888886,R0
XC666482,baffal1,Odirlei Vieira da Fonseca,baffal1,0.9952949285507202,181,1.0,0.4,0.022099447513812154,0.3571428571428571,R0
XC727672,baffal1,Brian Cox,baffal1,0.9955506920814514,181,1.0,0.4,0.022099447513812154,0.24,R0
XC745799,baffal1,Jacob Wijpkema,barant1,0.9964945316314697,181,0.125,0.1,0.0055248618784530384,0.0125,R0
XC546400,baffal1,Ciro Albano,linwoo1,0.9899024963378906,181,0.25,0.3,0.016574585635359115,0.10785714285714285,R0
XC192815,baffal1,Kassius Santos,baffal1,0.9975358247756958,181,1.0,0.7,0.03867403314917127,0.5075000000000001,R0
XC539586,soulap1,Yoann Blanchon,soulap1,0.9945273399353027,137,1.0,0.4,0.029197080291970802,0.38,R0
XC9046,soulap1,Allen T. Chartier,soulap1,0.9953290820121765,137,1.0,0.7,0.051094890510948905,0.55,R0
XC562682,soulap1,Kent Livezey,banana,0.989355742931366,137,0.02857142857142857,0.0,0.0,0.0,R0
XC51500,soulap1,Bernabe Lopez-Lanus,soulap1,0.9936598539352417,137,1.0,0.4,0.029197080291970802,0.22063492063492066,R0
XC428133,soulap1,Caio Brito,soulap1,0.9937514662742615,137,1.0,0.7,0.051094890510948905,0.6080952380952381,R0
XC47141,soulap1,Niels Krabbe,soulap1,0.9901880621910095,137,1.0,0.7,0.051094890510948905,0.6361111111111111,R0
XC861228,soulap1,Paulo Alves,squcuc1,0.988750696182251,137,0.125,0.1,0.0072992700729927005,0.0125,R0
XC549503,soulap1,Bernabe Lopez-Lanus,soulap1,0.9938704967498779,137,1.0,0.6,0.043795620437956206,0.45464285714285707,R0
XC16003,soulap1,Niels Krabbe,soulap1,0.9944750070571899,137,1.0,0.2,0.014598540145985401,0.13333333333333333,R0
XC48574,soulap1,Bernabe Lopez-Lanus,soulap1,0.9967307448387146,137,1.0,0.6,0.043795620437956206,0.5314285714285714,R0
XC340516,strcuc1,Aves del NEA,whtdov,0.9975016713142395,154,0.016666666666666666,0.0,0.0,0.0,R0
XC340515,strcuc1,Aves del NEA,sobtyr1,0.9959338307380676,154,0.01694915254237288,0.0,0.0,0.0,R0
XC173304,strcuc1,Douglas Meyer,strcuc1,0.9936115145683289,154,1.0,0.3,0.01948051948051948,0.275,R0
XC114965,strcuc1,pedrotêia,strcuc1,0.9973349571228027,154,1.0,0.4,0.025974025974025976,0.26666666666666666,R0
XC349929,strcuc1,Kassius Santos,pirfly1,0.9945275783538818,154,0.5,0.2,0.012987012987012988,0.08333333333333333,R0
XC836228,strcuc1,Jacob Wijpkema,sobtyr1,0.9948076009750366,154,0.5,0.5,0.032467532467532464,0.3208333333333333,R0
XC508606,strcuc1,Niels Krabbe,yeofly1,0.9975545406341553,154,0.25,0.3,0.01948051948051948,0.09166666666666665,R0
XC593146,strcuc1,Marcelo da Rocha,sobtyr1,0.9957125186920166,154,0.07692307692307693,0.0,0.0,0.0,R0
XC240034,strcuc1,Oscar Humberto Marín Gómez,pirfly1,0.9979566335678101,154,0.25,0.1,0.006493506493506494,0.025,R0
XC114160,strcuc1,Sergio Chaparro-Herrera,yeofly1,0.9952806830406189,154,0.06666666666666667,0.0,0.0,0.0,R0
XC993685,pabspi1,Bernabe Lopez-Lanus,yeofly1,0.9974423050880432,125,0.05,0.0,0.0,0.0,R0
XC506225,pabspi1,Niels Krabbe,pabspi1,0.9963065981864929,125,1.0,0.5,0.04,0.33916666666666667,R0
XC687712,pabspi1,Niels Krabbe,pabspi1,0.9974536299705505,125,1.0,0.4,0.032,0.3571428571428571,R0
XC506234,pabspi1,Niels Krabbe,pabspi1,0.9973713755607605,125,1.0,0.5,0.04,0.4041666666666666,R0
XC452493,pabspi1,Marcelo Jordani Feliti,pirfly1,0.9962499737739563,125,0.05,0.0,0.0,0.0,R0
XC701947,pabspi1,Jacob Wijpkema,sobtyr1,0.9971034526824951,125,0.020833333333333332,0.0,0.0,0.0,R0
XC701948,pabspi1,Jacob Wijpkema,sobtyr1,0.9950317740440369,125,0.03333333333333333,0.0,0.0,0.0,R0
XC236174,pabspi1,Niels Krabbe,bobfly1,0.991402804851532,125,0.09090909090909091,0.0,0.0,0.0,R0
XC391585,pabspi1,Kent Livezey,roahaw,0.995252251625061,125,0.5,0.2,0.016,0.1,R0
XC236176,pabspi1,Niels Krabbe,bobfly1,0.9941291213035583,125,0.3333333333333333,0.3,0.024,0.11083333333333334,R0
XC268594,yeofly1,Fabrice Schmitt,coffal1,0.9971449971199036,266,0.3333333333333333,0.4,0.015037593984962405,0.17619047619047618,R0
XC361117,yeofly1,Niels Krabbe,squcuc1,0.9960547685623169,266,0.5,0.6,0.022556390977443608,0.38749999999999996,R0
XC250157,yeofly1,Niels Krabbe,strcuc1,0.9980012774467468,266,0.5,0.5,0.018796992481203006,0.2384126984126984,R0
XC46766,yeofly1,Bernabe Lopez-Lanus,coffal1,0.996483564376831,266,0.08333333333333333,0.0,0.0,0.0,R0
XC1031972,yeofly1,Jacob Wijpkema,trokin,0.9961936473846436,266,0.5,0.2,0.007518796992481203,0.06999999999999999,R0
XC187210,yeofly1,Marcelo O. Barbosa,yeofly1,0.9973138570785522,266,1.0,0.4,0.015037593984962405,0.24,R0
XC512409,yeofly1,Odemir Freitas Junior,pabspi1,0.9946639537811279,266,0.05555555555555555,0.0,0.0,0.0,R0
XC611913,yeofly1,Fabrice Schmitt,sobtyr1,0.9972482323646545,266,0.5,0.5,0.018796992481203006,0.3058333333333333,R0
XC268592,yeofly1,Fabrice Schmitt,pirfly1,0.9969492554664612,266,0.3333333333333333,0.3,0.011278195488721804,0.08555555555555557,R0
XC583955,yeofly1,Ciro Albano,yeofly1,0.9971133470535278,266,1.0,0.1,0.0037593984962406013,0.1,R0
XC192979,gycwor1,Diego Caiafa,sobtyr1,0.9907386898994446,141,0.04,0.0,0.0,0.0,R0
XC483682,gycwor1,Odemir Freitas Junior,strcuc1,0.9949934482574463,141,0.16666666666666666,0.1,0.0070921985815602835,0.016666666666666666,R0
XC772156,gycwor1,Niels Krabbe,baffal1,0.994678258895874,141,0.25,0.1,0.0070921985815602835,0.025,R0
XC501765,gycwor1,NUNES D&#039;ACOSTA,squcuc1,0.9959099888801575,141,0.07142857142857142,0.0,0.0,0.0,R0
XC1012395,gycwor1,Jacob Wijpkema,gycwor1,0.9871407151222229,141,1.0,0.7,0.04964539007092199,0.6164285714285714,R0
XC843813,gycwor1,Mateus Gonçalves Santos,gycwor1,0.9939871430397034,141,1.0,0.3,0.02127659574468085,0.16607142857142856,R0
XC216181,gycwor1,Kassius Santos,gycwor1,0.9950593113899231,141,1.0,0.7,0.04964539007092199,0.6777777777777778,R0
XC352281,gycwor1,Odirlei Vieira da Fonseca,barant1,0.9944894313812256,141,0.5,0.3,0.02127659574468085,0.12333333333333334,R0
XC335167,gycwor1,Alejandro Pinto-Gómez,linwoo1,0.9930641055107117,141,0.125,0.1,0.0070921985815602835,0.0125,R0
XC197443,gycwor1,Joe Klaiber,yeofly1,0.9956371188163757,141,0.1,0.1,0.0070921985815602835,0.01,R0
XC254120,compau,Joe Klaiber,baffal1,0.9958786368370056,142,0.08333333333333333,0.0,0.0,0.0,R0
XC225326,compau,Joe Klaiber,compau,0.9820891618728638,142,1.0,0.2,0.014084507042253521,0.15,R0
XC236447,compau,Odirlei Vieira da Fonseca,baffal1,0.9942787289619446,142,0.2,0.1,0.007042253521126761,0.02,R0
XC311012,compau,Nery Chanquin,linwoo1,0.9927713871002197,142,0.5,0.1,0.007042253521126761,0.05,R0
XC285306,compau,Paul Marvin,gycwor1,0.9908417463302612,142,0.14285714285714285,0.1,0.007042253521126761,0.014285714285714285,R0
XC592920,compau,Marcelo da Rocha,coffal1,0.9919253587722778,142,0.16666666666666666,0.2,0.014084507042253521,0.03888888888888888,R0
XC221567,compau,Joe Klaiber,linwoo1,0.987957775592804,142,0.05263157894736842,0.0,0.0,0.0,R0
XC630102,compau,Ana Carla Aquino,yeofly1,0.9931262135505676,142,0.047619047619047616,0.0,0.0,0.0,R0
XC427477,compau,Caio Brito,barant1,0.9960352182388306,142,0.0625,0.0,0.0,0.0,R0
XC943093,compau,Carlos Delgado JUMABITA,yeofly1,0.9885997772216797,142,0.017241379310344827,0.0,0.0,0.0,R0
XC433820,barant1,Marcelo Jordani Feliti,barant1,0.9939660429954529,198,1.0,0.3,0.015151515151515152,0.275,R0
XC459559,barant1,Marcelo Jordani Feliti,greant1,0.9904637932777405,198,0.3333333333333333,0.4,0.020202020202020204,0.14384920634920634,R0
XC732448,barant1,Jacob Wijpkema,baffal1,0.9965879917144775,198,0.5,0.2,0.010101010101010102,0.075,R0
XC716450,barant1,Hernán Arias,barant1,0.9933732151985168,198,1.0,0.4,0.020202020202020204,0.2816666666666666,R0
XC354908,barant1,GABRIEL LEITE,barant1,0.993756115436554,198,1.0,0.4,0.020202020202020204,0.28194444444444444,R0
XC428067,barant1,Caio Brito,baffal1,0.9973947405815125,198,0.14285714285714285,0.1,0.005050505050505051,0.014285714285714285,R0
XC685458,barant1,Jacob Wijpkema,compau,0.9892305135726929,198,0.07142857142857142,0.0,0.0,0.0,R0
XC676256,barant1,Jacob Wijpkema,barant1,0.9971277713775635,198,1.0,0.4,0.020202020202020204,0.27666666666666667,R0
XC443189,barant1,Rosendo Fraga,baffal1,0.9954114556312561,198,0.3333333333333333,0.2,0.010101010101010102,0.06666666666666667,R0
XC752776,barant1,GABRIEL LEITE,barant1,0.9969671368598938,198,1.0,0.5,0.025252525252525252,0.3296428571428572,R0
XC695270,pirfly1,Niels Krabbe,sobtyr1,0.9973965883255005,201,0.03125,0.0,0.0,0.0,R0
XC199153,pirfly1,Gabriel Rosa,pabspi1,0.9946260452270508,201,0.03571428571428571,0.0,0.0,0.0,R0
XC575453,pirfly1,Odirlei Vieira da Fonseca,strcuc1,0.9939122200012207,201,0.3333333333333333,0.1,0.004975124378109453,0.03333333333333333,R0
XC199221,pirfly1,Gabriel Rosa,strcuc1,0.9973708987236023,201,0.14285714285714285,0.1,0.004975124378109453,0.014285714285714285,R0
XC1050422,pirfly1,Mateus Gonçalves Santos,yeofly1,0.9966583847999573,201,0.0625,0.0,0.0,0.0,R0
XC249521,pirfly1,Niels Krabbe,pirfly1,0.9957540035247803,201,1.0,0.3,0.014925373134328358,0.24285714285714283,R0
XC249067,pirfly1,Niels Krabbe,banana,0.9906105995178223,201,0.3333333333333333,0.2,0.009950248756218905,0.06190476190476191,R0
XC249418,pirfly1,Niels Krabbe,pirfly1,0.9856588244438171,201,1.0,0.1,0.004975124378109453,0.1,R0
XC249520,pirfly1,Niels Krabbe,sobtyr1,0.9951152205467224,201,0.5,0.2,0.009950248756218905,0.09,R0
XC764117,pirfly1,Guilherme de Melo Becher,pirfly1,0.9981067180633545,201,1.0,0.3,0.014925373134328358,0.15833333333333333,R0
XC174648,linwoo1,Douglas Meyer,squcuc1,0.9908679127693176,184,0.08333333333333333,0.0,0.0,0.0,R0
XC550450,linwoo1,Bernabe Lopez-Lanus,baffal1,0.9959009885787964,184,0.0625,0.0,0.0,0.0,R0
XC550448,linwoo1,Bernabe Lopez-Lanus,squcuc1,0.9933553338050842,184,0.058823529411764705,0.0,0.0,0.0,R0
XC379497,linwoo1,Alberto Madroño,squcuc1,0.995667040348053,184,0.047619047619047616,0.0,0.0,0.0,R0
XC732161,linwoo1,Jacob Wijpkema,soulap1,0.9939385056495667,184,0.07142857142857142,0.0,0.0,0.0,R0
XC261880,linwoo1,Olaf Jahn,sobtyr1,0.9949057698249817,184,0.025,0.0,0.0,0.0,R0
XC250796,linwoo1,Niels Krabbe,roahaw,0.9960718750953674,184,0.1,0.1,0.005434782608695652,0.01,R0
XC542823,linwoo1,Fabrice Schmitt,sobtyr1,0.9968510270118713,184,0.05263157894736842,0.0,0.0,0.0,R0
XC688346,linwoo1,Andres Felipe Espinosa,coffal1,0.9919367432594299,184,0.16666666666666666,0.2,0.010869565217391304,0.03888888888888888,R0
XC197473,linwoo1,Joe Klaiber,linwoo1,0.9857896566390991,184,1.0,0.3,0.016304347826086956,0.16999999999999998,R0
XC238416,whtdov,Niels Krabbe,bobfly1,0.9945658445358276,192,0.3333333333333333,0.1,0.005208333333333333,0.03333333333333333,R0
XC235857,whtdov,Niels Krabbe,sobtyr1,0.993568480014801,192,0.043478260869565216,0.0,0.0,0.0,R0
XC238417,whtdov,Niels Krabbe,whtdov,0.9975758790969849,192,1.0,0.4,0.020833333333333332,0.24285714285714288,R0
XC294701,whtdov,Douglas Meyer,whtdov,0.9976070523262024,192,1.0,0.8,0.041666666666666664,0.7042063492063492,R0
XC388552,whtdov,Marcelo Jordani Feliti,sobtyr1,0.9986546039581299,192,0.5,0.4,0.020833333333333332,0.17063492063492064,R0
XC538235,whtdov,Yoann Blanchon,whtdov,0.9879774451255798,192,1.0,0.3,0.015625,0.1875,R0
XC716476,whtdov,Hernán Arias,pirfly1,0.9965201020240784,192,0.03571428571428571,0.0,0.0,0.0,R0
XC147509,whtdov,Paul Marvin,whtdov,0.9965078830718994,192,1.0,0.5,0.026041666666666668,0.4,R0
XC277692,whtdov,Paul Marvin,whtdov,0.9982885718345642,192,1.0,1.0,0.052083333333333336,1.0,R0
XC833664,whtdov,Marcelo O. Barbosa,sobtyr1,0.9966948628425598,192,0.3333333333333333,0.4,0.020833333333333332,0.1595238095238095,R0
XC469159,bobfly1,GABRIEL LEITE,strcuc1,0.9957001209259033,204,0.5,0.1,0.004901960784313725,0.05,R0
XC578500,bobfly1,Ciro Albano,roahaw,0.9928931593894958,204,0.5,0.3,0.014705882352941176,0.17666666666666667,R0
XC545844,bobfly1,Ciro Albano,pirfly1,0.9906675815582275,204,0.5,0.6,0.029411764705882353,0.3493650793650793,R0
XC427567,bobfly1,Caio Brito,pirfly1,0.9952542185783386,204,0.25,0.4,0.0196078431372549,0.16499999999999998,R0
XC583946,bobfly1,Ciro Albano,soulap1,0.9930046796798706,204,0.3333333333333333,0.4,0.0196078431372549,0.18333333333333332,R0
XC235872,bobfly1,Niels Krabbe,linwoo1,0.9936135411262512,204,0.5,0.5,0.024509803921568627,0.2980952380952381,R0
XC427566,bobfly1,Caio Brito,roahaw,0.9949172139167786,204,0.3333333333333333,0.4,0.0196078431372549,0.16333333333333333,R0
XC356904,bobfly1,Kent Livezey,soulap1,0.9942110776901245,204,0.058823529411764705,0.0,0.0,0.0,R0
XC841763,bobfly1,Niels Krabbe,coffal1,0.9952514171600342,204,0.08333333333333333,0.0,0.0,0.0,R0
XC666481,bobfly1,Odirlei Vieira da Fonseca,squcuc1,0.995204508304596,204,0.06666666666666667,0.0,0.0,0.0,R0
XC944466,trokin,Carlos Delgado JUMABITA,trokin,0.9983715415000916,155,1.0,0.4,0.025806451612903226,0.27749999999999997,R0
XC556661,trokin,Caio Brito,pabspi1,0.9930925369262695,155,0.0625,0.0,0.0,0.0,R0
XC131763,trokin,Oscar Humberto Marin-Gomez,strcuc1,0.9975677132606506,155,0.0625,0.0,0.0,0.0,R0
XC282322,trokin,Paul Marvin,trokin,0.9974727034568787,155,1.0,0.5,0.03225806451612903,0.37976190476190474,R0
XC287873,trokin,J.R. Rigby,squcuc1,0.9961610436439514,155,0.02,0.0,0.0,0.0,R0
XC944467,trokin,Carlos Delgado JUMABITA,trokin,0.9984773397445679,155,1.0,0.6,0.03870967741935484,0.49833333333333324,R0
XC690960,trokin,Jules Evens,yeofly1,0.9971646070480347,155,0.00909090909090909,0.0,0.0,0.0,R0
XC960832,trokin,Alejandra Moreno Rojas ,barant1,0.9969279766082764,155,0.023809523809523808,0.0,0.0,0.0,R0
XC490064,trokin,GABRIEL LEITE,banana,0.9937971830368042,155,0.03333333333333333,0.0,0.0,0.0,R0
XC282345,trokin,Paul Marvin,coffal1,0.9948807954788208,155,0.07692307692307693,0.0,0.0,0.0,R0
XC1011212,coffal1,Jacob Wijpkema,compau,0.8981963396072388,171,0.25,0.1,0.005847953216374269,0.025,R1
XC518849,coffal1,Marcelo da Rocha,coffal1,0.9363089203834534,171,1.0,0.6,0.03508771929824561,0.5380952380952382,R1
XC640029,coffal1,Ciro Albano,baffal1,0.924349844455719,171,0.5,0.6,0.03508771929824561,0.35297619047619044,R1
XC238626,coffal1,Niels Krabbe,coffal1,0.9528942108154297,171,1.0,0.8,0.04678362573099415,0.6818253968253967,R1
XC580510,coffal1,Kent Livezey,linwoo1,0.9223859906196594,171,0.3333333333333333,0.5,0.029239766081871343,0.25999999999999995,R1
XC841725,coffal1,Niels Krabbe,coffal1,0.9197863340377808,171,1.0,0.9,0.05263157894736842,0.9,R1
XC909155,coffal1,Luis Gomez,coffal1,0.9440916180610657,171,1.0,0.7,0.04093567251461988,0.6080952380952381,R1
XC597587,coffal1,Erik Camilo Gaitán López,coffal1,0.9379985332489014,171,1.0,0.4,0.023391812865497075,0.2733333333333333,R1
XC514068,coffal1,David Bradley,coffal1,0.8959863185882568,171,1.0,0.4,0.023391812865497075,0.28194444444444444,R1
XC915055,coffal1,Rodrigo Y Castro,coffal1,0.9998838901519775,171,1.0,0.9,0.05263157894736842,0.8788888888888889,R1
XC504846,sobtyr1,Iván Lau,banana,0.939795732498169,221,0.14285714285714285,0.1,0.004524886877828055,0.014285714285714285,R1
XC764623,sobtyr1,Niels Krabbe,sobtyr1,0.9588279724121094,221,1.0,1.0,0.04524886877828054,1.0,R1
XC653903,sobtyr1,Jacob Wijpkema,yeofly1,0.9063553214073181,221,0.25,0.3,0.013574660633484163,0.10785714285714285,R1
XC176886,sobtyr1,Douglas Meyer,sobtyr1,0.9672966599464417,221,1.0,0.5,0.02262443438914027,0.45555555555555555,R1
XC580800,sobtyr1,Javier Ricardo Salamanca-Reyes,strcuc1,0.9213471412658691,221,0.038461538461538464,0.0,0.0,0.0,R1
XC763522,sobtyr1,GABRIEL LEITE,gycwor1,0.947933554649353,221,0.043478260869565216,0.0,0.0,0.0,R1
XC612769,sobtyr1,Fabrice Schmitt,sobtyr1,0.909214198589325,221,1.0,0.2,0.00904977375565611,0.12857142857142856,R1
