species_key,scientific_name,common_name,alasan_eksklusi
chacha1,Ortalis canicollis,Chaco Chachalaca,Di luar kuota Top 20 author diversitas tertinggi
chbmoc1,Mimus saturninus,Chalk-browed Mockingbird,Di luar kuota Top 20 author diversitas tertinggi
chobla1,Gnorimopsar chopi,Chopi Blackbird,Di luar kuota Top 20 author diversitas tertinggi
chvcon1,Conirostrum speciosum,Chestnut-vented Conebill,Di luar kuota Top 20 author diversitas tertinggi
cibspi1,Synallaxis hypospodia,Cinereous-breasted Spinetail,Di luar kuota Top 20 author diversitas tertinggi
compot1,Nyctibius griseus,Common Potoo,Di luar kuota Top 20 author diversitas tertinggi
crbthr1,Turdus amaurochalinus,Creamy-bellied Thrush,Di luar kuota Top 20 author diversitas tertinggi
crebec1,Pachyramphus validus,Crested Becard,Di luar kuota Top 20 author diversitas tertinggi
dwatin1,Taoniscus nanus,Dwarf Tinamou,Klip bermutu < 20 (19)
epaori4,Icterus pyrrhopterus,Variable Oriole,Di luar kuota Top 20 author diversitas tertinggi
eulfly1,Lathrotriccus euleri,Euler's Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
fabwre1,Cantorchilus guarayanus,Fawn-breasted Wren,Di luar kuota Top 20 author diversitas tertinggi
fepowl,Glaucidium brasilianum,Ferruginous Pygmy Owl,Di luar kuota Top 20 author diversitas tertinggi
ficman1,Machaeropterus pyrocephalus,Fiery-capped Manakin,Di luar kuota Top 20 author diversitas tertinggi
flawar1,Myiothlypis flaveola,Flavescent Warbler,Di luar kuota Top 20 author diversitas tertinggi
fotfly,Tyrannus savana,Fork-tailed Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
fusfly1,Cnemotriccus fuscatus,Fuscous Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
gilhum1,Hylocharis chrysura,Gilded Hummingbird,Di luar kuota Top 20 author diversitas tertinggi
giwrai1,Aramides ypecaha,Giant Wood Rail,Di luar kuota Top 20 author diversitas tertinggi
glteme1,Chionomesa fimbriata,Glittering-throated Emerald,Di luar kuota Top 20 author diversitas tertinggi
grasal3,Saltator coerulescens,Bluish-grey Saltator,Di luar kuota Top 20 author diversitas tertinggi
greani1,Crotophaga major,Greater Ani,Di luar kuota Top 20 author diversitas tertinggi
greela,Myiopagis viridicata,Greenish Elaenia,Di luar kuota Top 20 author diversitas tertinggi
grekis,Pitangus sulphuratus,Great Kiskadee,Di luar kuota Top 20 author diversitas tertinggi
grepot1,Nyctibius grandis,Great Potoo,Di luar kuota Top 20 author diversitas tertinggi
gretho2,Phacellodomus ruber,Greater Thornbird,Di luar kuota Top 20 author diversitas tertinggi
greyel,Tringa melanoleuca,Greater Yellowlegs,Di luar kuota Top 20 author diversitas tertinggi
grfdov1,Leptotila rufaxilla,Grey-fronted Dove,Di luar kuota Top 20 author diversitas tertinggi
grhtan1,Eucometis penicillata,Grey-headed Tanager,Di luar kuota Top 20 author diversitas tertinggi
horscr1,Anhima cornuta,Horned Screamer,Di luar kuota Top 20 author diversitas tertinggi
houspa,Passer domesticus,House Sparrow,Di luar kuota Top 20 author diversitas tertinggi
hyamac1,Anodorhynchus hyacinthinus,Hyacinth Macaw,Di luar kuota Top 20 author diversitas tertinggi
larela1,Elaenia spectabilis,Large Elaenia,Di luar kuota Top 20 author diversitas tertinggi
lesela1,Elaenia chiriquensis,Lesser Elaenia,Di luar kuota Top 20 author diversitas tertinggi
lesgrf1,Emberizoides ypiranganus,Lesser Grass-Finch,Di luar kuota Top 20 author diversitas tertinggi
limpki,Aramus guarauna,Limpkin,Di luar kuota Top 20 author diversitas tertinggi
litcuc2,Coccycua minuta,Little Cuckoo,Di luar kuota Top 20 author diversitas tertinggi
litnig1,Setopagis parvula,Little Nightjar,Di luar kuota Top 20 author diversitas tertinggi
mabpar,Pyrrhura frontalis,Maroon-bellied Parakeet,Di luar kuota Top 20 author diversitas tertinggi
magant1,Cercomacra melanaria,Mato Grosso Antbird,Di luar kuota Top 20 author diversitas tertinggi
magtan2,Cissopis leverianus,Magpie Tanager,Di luar kuota Top 20 author diversitas tertinggi
masgna1,Polioptila dumicola,Masked Gnatcatcher,Di luar kuota Top 20 author diversitas tertinggi
nacnig1,Chordeiles nacunda,Nacunda Nighthawk,Klip bermutu < 20 (7)
ocecra1,Rufirallus schomburgkii,Ocellated Crake,Bukan koleksi XC
oliwoo1,Sittasomus griseicapillus,Olivaceous Woodcreeper,Di luar kuota Top 20 author diversitas tertinggi
orbtro3,Icterus croconotus,Orange-backed Troupial,Di luar kuota Top 20 author diversitas tertinggi
orwpar,Amazona amazonica,Orange-winged Amazon,Di luar kuota Top 20 author diversitas tertinggi
osprey,Pandion haliaetus,Osprey,Di luar kuota Top 20 author diversitas tertinggi
palhor3,Furnarius leucopus,Pale-legged Hornero,Di luar kuota Top 20 author diversitas tertinggi
paltan1,Thraupis palmarum,Palm Tanager,Di luar kuota Top 20 author diversitas tertinggi
phecuc1,Dromococcyx phasianellus,Pheasant Cuckoo,Di luar kuota Top 20 author diversitas tertinggi
picpig2,Patagioenas picazuro,Picazuro Pigeon,Di luar kuota Top 20 author diversitas tertinggi
plasla1,Thamnophilus pelzelni,Planalto Slaty Antshrike,Di luar kuota Top 20 author diversitas tertinggi
platyr1,Inezia inornata,Plain Inezia,Di luar kuota Top 20 author diversitas tertinggi
plcjay1,Cyanocorax chrysops,Plush-crested Jay,Di luar kuota Top 20 author diversitas tertinggi
pluibi1,Theristicus caerulescens,Plumbeous Ibis,Di luar kuota Top 20 author diversitas tertinggi
purjay1,Cyanocorax cyanomelas,Purplish Jay,Di luar kuota Top 20 author diversitas tertinggi
pvttyr1,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Di luar kuota Top 20 author diversitas tertinggi
ragmac1,Ara chloropterus,Red-and-green Macaw,Di luar kuota Top 20 author diversitas tertinggi
rebscy1,Campylorhamphus trochilirostris,Red-billed Scythebill,Di luar kuota Top 20 author diversitas tertinggi
recfin1,Coryphospingus cucullatus,Red-crested Finch,Di luar kuota Top 20 author diversitas tertinggi
redjun,Gallus gallus,Red Junglefowl,Di luar kuota Top 20 author diversitas tertinggi
relser1,Cariama cristata,Red-legged Seriema,Di luar kuota Top 20 author diversitas tertinggi
rinkin1,Megaceryle torquata,Ringed Kingfisher,Di luar kuota Top 20 author diversitas tertinggi
rivwar1,Myiothlypis rivularis,Riverbank Warbler,Di luar kuota Top 20 author diversitas tertinggi
rubthr1,Turdus rufiventris,Rufous-bellied Thrush,Di luar kuota Top 20 author diversitas tertinggi
rufcac2,Pseudoseisura unirufa,Rufous Cacholote,Di luar kuota Top 20 author diversitas tertinggi
rufcas2,Casiornis rufus,Rufous Casiornis,Di luar kuota Top 20 author diversitas tertinggi
rufgna3,Conopophaga lineata,Rufous Gnateater,Di luar kuota Top 20 author diversitas tertinggi
rufhor2,Furnarius rufus,Rufous Hornero,Di luar kuota Top 20 author diversitas tertinggi
rufnig1,Antrostomus rufus,Rufous Nightjar,Di luar kuota Top 20 author diversitas tertinggi
ruftho1,Phacellodomus rufifrons,Rufous-fronted Thornbird,Di luar kuota Top 20 author diversitas tertinggi
ruftof1,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
rumfly1,Myiozetetes cayanensis,Rusty-margined Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
ruther1,Tigrisoma lineatum,Rufescent Tiger Heron,Di luar kuota Top 20 author diversitas tertinggi
rutjac1,Galbula ruficauda,Rufous-tailed Jacamar,Di luar kuota Top 20 author diversitas tertinggi
sabspa1,Arremon flavirostris,Saffron-billed Sparrow,Di luar kuota Top 20 author diversitas tertinggi
saffin,Sicalis flaveola,Saffron Finch,Di luar kuota Top 20 author diversitas tertinggi
saytan1,Thraupis sayaca,Sayaca Tanager,Di luar kuota Top 20 author diversitas tertinggi
scadov1,Columbina squammata,Scaled Dove,Di luar kuota Top 20 author diversitas tertinggi
schpar1,Pionus maximiliani,Scaly-headed Parrot,Di luar kuota Top 20 author diversitas tertinggi
scther1,Phaethornis eurynome,Scale-throated Hermit,Di luar kuota Top 20 author diversitas tertinggi
shcfly1,Myiarchus ferox,Short-crested Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
shshaw,Accipiter striatus,Sharp-shinned Hawk,Di luar kuota Top 20 author diversitas tertinggi
shtnig1,Lurocalis semitorquatus,Short-tailed Nighthawk,Di luar kuota Top 20 author diversitas tertinggi
sibtan2,Ramphocelus carbo,Silver-beaked Tanager,Di luar kuota Top 20 author diversitas tertinggi
smbani,Crotophaga ani,Smooth-billed Ani,Di luar kuota Top 20 author diversitas tertinggi
smbtin1,Crypturellus parvirostris,Small-billed Tinamou,Di luar kuota Top 20 author diversitas tertinggi
sobcac1,Cacicus solitarius,Solitary Cacique,Di luar kuota Top 20 author diversitas tertinggi
socfly1,Myiozetetes similis,Social Flycatcher,Di luar kuota Top 20 author diversitas tertinggi
sofspi1,Synallaxis frontalis,Sooty-fronted Spinetail,Di luar kuota Top 20 author diversitas tertinggi
souant1,Corythopis delalandi,Southern Antpipit,Di luar kuota Top 20 author diversitas tertinggi
souscr1,Chauna torquata,Southern Screamer,Di luar kuota Top 20 author diversitas tertinggi
spbant3,Hypoedaleus guttatus,Spot-backed Antshrike,Di luar kuota Top 20 author diversitas tertinggi
spispi1,Synallaxis spixi,Spix's Spinetail,Di luar kuota Top 20 author diversitas tertinggi
sptnig1,Antiurus maculicaudus,Spot-tailed Nightjar,Bukan koleksi XC
stbwoo2,Dendroplex picus,Straight-billed Woodcreeper,Di luar kuota Top 20 author diversitas tertinggi
strher2,Butorides striata,Striated Heron,Di luar kuota Top 20 author diversitas tertinggi
strowl1,Asio clamator,Striped Owl,Di luar kuota Top 20 author diversitas tertinggi
swthum1,Eupetomena macroura,Swallow-tailed Hummingbird,Di luar kuota Top 20 author diversitas tertinggi
swtman1,Chiroxiphia caudata,Swallow-tailed Manakin,Di luar kuota Top 20 author diversitas tertinggi
tattin1,Crypturellus tataupa,Tataupa Tinamou,Di luar kuota Top 20 author diversitas tertinggi
thlwre1,Campylorhynchus turdinus,Thrush-like Wren,Di luar kuota Top 20 author diversitas tertinggi
toctou1,Ramphastos toco,Toco Toucan,Di luar kuota Top 20 author diversitas tertinggi
undtin1,Crypturellus undulatus,Undulated Tinamou,Di luar kuota Top 20 author diversitas tertinggi
varant1,Thamnophilus caerulescens,Variable Antshrike,Di luar kuota Top 20 author diversitas tertinggi
watjac1,Jacana jacana,Wattled Jacana,Di luar kuota Top 20 author diversitas tertinggi
wesfie1,Pyriglena maura,Western Fire-eye,Di luar kuota Top 20 author diversitas tertinggi
wfwduc1,Dendrocygna viduata,White-faced Whistling Duck,Di luar kuota Top 20 author diversitas tertinggi
whbant2,Biatas nigropectus,White-bearded Antshrike,Di luar kuota Top 20 author diversitas tertinggi
whbwar2,Myiothlypis leucoblephara,White-browed Warbler,Di luar kuota Top 20 author diversitas tertinggi
whiwoo1,Melanerpes candidus,White Woodpecker,Di luar kuota Top 20 author diversitas tertinggi
whlspi1,Synallaxis albilora,White-lored Spinetail,Di luar kuota Top 20 author diversitas tertinggi
whnjay1,Cyanocorax cyanopogon,White-naped Jay,Di luar kuota Top 20 author diversitas tertinggi
whwpic1,Picumnus albosquamatus,White-wedged Piculet,Di luar kuota Top 20 author diversitas tertinggi
y00678,Caracara plancus,Crested Caracara,Di luar kuota Top 20 author diversitas tertinggi
yebcar,Paroaria capitata,Yellow-billed Cardinal,Klip bermutu < 20 (19)
yebela1,Elaenia flavogaster,Yellow-bellied Elaenia,Di luar kuota Top 20 author diversitas tertinggi
yecmac,Primolius auricollis,Golden-collared Macaw,Di luar kuota Top 20 author diversitas tertinggi
yecpar,Brotogeris chiriri,Yellow-chevroned Parakeet,Di luar kuota Top 20 author diversitas tertinggi
yehcar1,Daptrius chimachima,Yellow-headed Caracara,Bukan koleksi XC
