recording_id,species_key,scientific_name,common_name,author,rating,latitude,longitude,file_path,split_role
XC652010,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Gabriel Moresco,5.0,-25.5985,-54.5476,data/BirdClef/train_audio/baffal1/XC652010.ogg,gallery
XC172827,baffal1,Micrastur ruficollis,Barred Forest-Falcon,João Antônio de B. Vitto,5.0,-25.4597,-49.5273,data/BirdClef/train_audio/baffal1/XC172827.ogg,gallery
XC172510,baffal1,Micrastur ruficollis,Barred Forest-Falcon,João Antônio de B. Vitto,5.0,-25.4597,-49.5273,data/BirdClef/train_audio/baffal1/XC172510.ogg,gallery
XC85220,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.0,-24.2834,-48.4334,data/BirdClef/train_audio/baffal1/XC85220.ogg,gallery
XC897585,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Lia Nahomi Kajiki,5.0,-24.2834,-48.4334,data/BirdClef/train_audio/baffal1/XC897585.ogg,gallery
XC421837,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,4.0,-24.2783,-50.5306,data/BirdClef/train_audio/baffal1/XC421837.ogg,gallery
XC421195,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,4.0,-24.2783,-50.5306,data/BirdClef/train_audio/baffal1/XC421195.ogg,gallery
XC299687,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,4.0,-24.2783,-50.5306,data/BirdClef/train_audio/baffal1/XC299687.ogg,gallery
XC435761,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,4.0,-24.2601,-48.4073,data/BirdClef/train_audio/baffal1/XC435761.ogg,gallery
XC462352,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Felipe Arantes,3.5,-24.2325,-48.4506,data/BirdClef/train_audio/baffal1/XC462352.ogg,gallery
XC240685,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Norton Santos,4.0,-24.11,-48.3751,data/BirdClef/train_audio/baffal1/XC240685.ogg,gallery
XC618886,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Lia Nahomi Kajiki,3.0,-24.03,-47.3516,data/BirdClef/train_audio/baffal1/XC618886.ogg,gallery
XC4312,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Bob Planqué,3.5,-24.0171,-47.8104,data/BirdClef/train_audio/baffal1/XC4312.ogg,gallery
XC512884,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jerome Fischer,4.0,-24.0171,-47.8104,data/BirdClef/train_audio/baffal1/XC512884.ogg,gallery
XC435754,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,3.0,-24.0037,-47.0037,data/BirdClef/train_audio/baffal1/XC435754.ogg,gallery
XC581878,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Marcos Melo,4.0,-23.8449,-46.9769,data/BirdClef/train_audio/baffal1/XC581878.ogg,gallery
XC770865,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rafael Lima,3.0,-23.6541,-45.8897,data/BirdClef/train_audio/baffal1/XC770865.ogg,gallery
XC153777,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,4.0,-23.5797,-45.5474,data/BirdClef/train_audio/baffal1/XC153777.ogg,gallery
XC406518,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Henry Miller Carneiro Alexandre ,3.0,-23.4759,-45.086,data/BirdClef/train_audio/baffal1/XC406518.ogg,gallery
XC234721,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,5.0,-23.4693,-45.1695,data/BirdClef/train_audio/baffal1/XC234721.ogg,gallery
XC85216,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.0,-23.4693,-45.1695,data/BirdClef/train_audio/baffal1/XC85216.ogg,gallery
XC345414,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,4.0,-23.4693,-45.1695,data/BirdClef/train_audio/baffal1/XC345414.ogg,gallery
XC344486,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,4.5,-23.3178,-45.1648,data/BirdClef/train_audio/baffal1/XC344486.ogg,gallery
XC158879,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,4.0,-22.8984,-45.6834,data/BirdClef/train_audio/baffal1/XC158879.ogg,gallery
XC618495,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Buzzetti,3.0,-22.7922,-44.3751,data/BirdClef/train_audio/baffal1/XC618495.ogg,gallery
XC548879,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,5.0,-22.7785,-45.587,data/BirdClef/train_audio/baffal1/XC548879.ogg,gallery
XC234714,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.5,-22.7667,-45.6001,data/BirdClef/train_audio/baffal1/XC234714.ogg,gallery
XC140984,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,4.0,-22.7567,-45.5529,data/BirdClef/train_audio/baffal1/XC140984.ogg,gallery
XC562268,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rosendo Manuel Fraga,3.0,-22.6802,-64.4211,data/BirdClef/train_audio/baffal1/XC562268.ogg,gallery
XC292048,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jerome Fischer,3.5,-22.4508,-42.7735,data/BirdClef/train_audio/baffal1/XC292048.ogg,gallery
XC391938,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Bobby Wilcox,3.5,-22.4179,-42.7379,data/BirdClef/train_audio/baffal1/XC391938.ogg,gallery
XC85217,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.0,-22.4001,-44.6667,data/BirdClef/train_audio/baffal1/XC85217.ogg,gallery
XC612552,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Ricardo José Mitidieri,3.0,-22.394,-42.501,data/BirdClef/train_audio/baffal1/XC612552.ogg,gallery
XC291083,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,5.0,-22.3798,-44.6301,data/BirdClef/train_audio/baffal1/XC291083.ogg,gallery
XC234715,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.5,-22.3667,-44.7334,data/BirdClef/train_audio/baffal1/XC234715.ogg,gallery
XC587188,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Ricardo Gagliardi,4.0,-22.3652,-43.007,data/BirdClef/train_audio/baffal1/XC587188.ogg,gallery
XC987466,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Buzzetti,4.0,-21.711,-43.9059,data/BirdClef/train_audio/baffal1/XC987466.ogg,gallery
XC85219,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.0,-21.7001,-43.8834,data/BirdClef/train_audio/baffal1/XC85219.ogg,gallery
XC1513,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Sjoerd Mayer,5.0,-21.3501,-64.2667,data/BirdClef/train_audio/baffal1/XC1513.ogg,gallery
XC1511,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Sjoerd Mayer,3.0,-21.3501,-64.2667,data/BirdClef/train_audio/baffal1/XC1511.ogg,gallery
XC135977,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Noé Eiterer,4.0,-20.6665,-42.5222,data/BirdClef/train_audio/baffal1/XC135977.ogg,gallery
XC189682,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Luiz Gabriel Mazzoni,4.5,-18.8939,-43.3248,data/BirdClef/train_audio/baffal1/XC189682.ogg,gallery
XC704173,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Richard E. Webster,4.0,-18.1051,-63.5983,data/BirdClef/train_audio/baffal1/XC704173.ogg,gallery
XC2075,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Sjoerd Mayer,3.0,-16.8612,-67.2051,data/BirdClef/train_audio/baffal1/XC2075.ogg,gallery
XC387980,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Breno Dias Vitorino,4.0,-15.6421,-57.1899,data/BirdClef/train_audio/baffal1/XC387980.ogg,gallery
XC340061,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Roney Souza,3.0,-15.565,-40.4213,data/BirdClef/train_audio/baffal1/XC340061.ogg,gallery
XC844093,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernanda Fernandex,3.5,-15.5584,-47.776,data/BirdClef/train_audio/baffal1/XC844093.ogg,gallery
XC1037397,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Buzzetti,4.0,-15.352,-55.6517,data/BirdClef/train_audio/baffal1/XC1037397.ogg,gallery
XC340316,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Mateus G. Santos ,4.0,-14.5439,-40.2688,data/BirdClef/train_audio/baffal1/XC340316.ogg,gallery
XC859271,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Richard E. Webster,3.0,-14.1689,-67.9178,data/BirdClef/train_audio/baffal1/XC859271.ogg,gallery
XC399318,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Herman van Oosten,3.0,-14.167,-67.917,data/BirdClef/train_audio/baffal1/XC399318.ogg,gallery
XC793191,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,4.5,-13.3558,-47.2809,data/BirdClef/train_audio/baffal1/XC793191.ogg,gallery
XC793190,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,4.5,-13.3558,-47.2809,data/BirdClef/train_audio/baffal1/XC793190.ogg,gallery
XC122749,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Eric DeFonso,4.0,-12.7945,-71.3979,data/BirdClef/train_audio/baffal1/XC122749.ogg,gallery
XC123105,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Eric DeFonso,3.0,-12.7945,-71.3979,data/BirdClef/train_audio/baffal1/XC123105.ogg,gallery
XC63646,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Joseph Tobias and Nathalie Seddon,4.0,-12.6601,-71.2398,data/BirdClef/train_audio/baffal1/XC63646.ogg,gallery
XC453509,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Will Sweet,4.0,-12.5687,-70.0928,data/BirdClef/train_audio/baffal1/XC453509.ogg,gallery
XC63645,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Joseph Tobias and Nathalie Seddon,4.0,-11.8667,-71.3667,data/BirdClef/train_audio/baffal1/XC63645.ogg,gallery
XC63643,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Joseph Tobias and Nathalie Seddon,4.0,-11.8667,-71.3667,data/BirdClef/train_audio/baffal1/XC63643.ogg,gallery
XC63644,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Joseph Tobias and Nathalie Seddon,3.0,-11.8667,-71.3667,data/BirdClef/train_audio/baffal1/XC63644.ogg,gallery
XC330543,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Rodrigo Dela Rosa,3.5,-11.8647,-55.6646,data/BirdClef/train_audio/baffal1/XC330543.ogg,gallery
XC351413,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Willian Menq,5.0,-11.6806,-48.8493,data/BirdClef/train_audio/baffal1/XC351413.ogg,gallery
XC329225,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,3.0,-10.8954,-68.3632,data/BirdClef/train_audio/baffal1/XC329225.ogg,gallery
XC329201,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,3.0,-10.8954,-68.3632,data/BirdClef/train_audio/baffal1/XC329201.ogg,gallery
XC329208,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,3.0,-10.79,-69.6054,data/BirdClef/train_audio/baffal1/XC329208.ogg,gallery
XC344052,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Tulio Dornas,4.0,-10.098,-48.4234,data/BirdClef/train_audio/baffal1/XC344052.ogg,gallery
XC344051,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Tulio Dornas,4.0,-10.098,-48.4234,data/BirdClef/train_audio/baffal1/XC344051.ogg,gallery
XC417413,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Tulio Dornas,4.0,-9.9647,-47.5806,data/BirdClef/train_audio/baffal1/XC417413.ogg,gallery
XC431368,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Bobby Wilcox,4.0,-9.5982,-55.9312,data/BirdClef/train_audio/baffal1/XC431368.ogg,gallery
XC130077,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Eric DeFonso,4.0,-9.5981,-55.932,data/BirdClef/train_audio/baffal1/XC130077.ogg,gallery
XC432570,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Bobby Wilcox,4.0,-9.5863,-55.9191,data/BirdClef/train_audio/baffal1/XC432570.ogg,gallery
XC189543,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Luiz Gabriel Mazzoni,5.0,-9.4493,-64.3728,data/BirdClef/train_audio/baffal1/XC189543.ogg,gallery
XC678306,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Buzzetti,4.0,-9.1907,-40.4344,data/BirdClef/train_audio/baffal1/XC678306.ogg,gallery
XC821578,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,5.0,-9.0875,-64.0228,data/BirdClef/train_audio/baffal1/XC821578.ogg,gallery
XC821576,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,5.0,-9.0875,-64.0228,data/BirdClef/train_audio/baffal1/XC821576.ogg,gallery
XC234718,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,3.5,-9.0106,-72.722,data/BirdClef/train_audio/baffal1/XC234718.ogg,gallery
XC85218,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.0,-9.0106,-72.722,data/BirdClef/train_audio/baffal1/XC85218.ogg,gallery
XC705481,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,5.0,-8.9293,-69.0886,data/BirdClef/train_audio/baffal1/XC705481.ogg,gallery
XC974203,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,5.0,-8.8322,-42.5476,data/BirdClef/train_audio/baffal1/XC974203.ogg,gallery
XC974201,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,5.0,-8.8322,-42.5476,data/BirdClef/train_audio/baffal1/XC974201.ogg,gallery
XC537845,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,5.0,-8.7512,-68.9938,data/BirdClef/train_audio/baffal1/XC537845.ogg,gallery
XC536757,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,3.0,-8.7512,-68.9938,data/BirdClef/train_audio/baffal1/XC536757.ogg,gallery
XC204948,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Roger Ahlman,4.0,-7.3984,-76.2996,data/BirdClef/train_audio/baffal1/XC204948.ogg,gallery
XC150981,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Herman van Oosten,3.0,-7.3688,-76.2952,data/BirdClef/train_audio/baffal1/XC150981.ogg,gallery
XC486890,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Buzzetti,4.0,-6.97,-58.39,data/BirdClef/train_audio/baffal1/XC486890.ogg,gallery
XC486831,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Dante Buzzetti,4.0,-6.97,-58.39,data/BirdClef/train_audio/baffal1/XC486831.ogg,gallery
XC493242,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,4.0,-6.7455,-46.9907,data/BirdClef/train_audio/baffal1/XC493242.ogg,gallery
XC493247,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,3.0,-6.7455,-46.9907,data/BirdClef/train_audio/baffal1/XC493247.ogg,gallery
XC85221,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jeremy Minns,4.0,-6.1001,-50.1501,data/BirdClef/train_audio/baffal1/XC85221.ogg,gallery
XC1034702,baffal1,Micrastur ruficollis,Barred Forest-Falcon,JAYRSON ARAUJO DE OLIVEIRA,4.5,-5.7717,-47.4806,data/BirdClef/train_audio/baffal1/XC1034702.ogg,gallery
XC10661,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Todd Mark,4.0,-5.132,-78.7417,data/BirdClef/train_audio/baffal1/XC10661.ogg,gallery
XC10660,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Todd Mark,4.0,-5.132,-78.7417,data/BirdClef/train_audio/baffal1/XC10660.ogg,gallery
XC10640,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Todd Mark,4.0,-5.132,-78.7417,data/BirdClef/train_audio/baffal1/XC10640.ogg,gallery
XC10641,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Todd Mark,3.0,-5.132,-78.7417,data/BirdClef/train_audio/baffal1/XC10641.ogg,gallery
XC7047,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Todd Mark,3.0,-4.9001,-79.3334,data/BirdClef/train_audio/baffal1/XC7047.ogg,gallery
XC705219,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Fernando Igor de Godoy,4.0,-4.293,-47.5569,data/BirdClef/train_audio/baffal1/XC705219.ogg,gallery
XC147163,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Josh Engel,5.0,-3.8141,-46.8045,data/BirdClef/train_audio/baffal1/XC147163.ogg,gallery
XC147162,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Josh Engel,4.0,-3.8141,-46.8045,data/BirdClef/train_audio/baffal1/XC147162.ogg,gallery
XC193,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Willem-Pier Vellinga,3.0,-3.6841,-72.4005,data/BirdClef/train_audio/baffal1/XC193.ogg,gallery
XC855244,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Michael Hurben,3.0,-2.6787,-60.9519,data/BirdClef/train_audio/baffal1/XC855244.ogg,gallery
XC125728,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Christian B. Andretti,3.0,-1.095,-52.653,data/BirdClef/train_audio/baffal1/XC125728.ogg,gallery
XC284665,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Leonardo Ordóñez-Delgado,5.0,-0.9415,-77.8989,data/BirdClef/train_audio/baffal1/XC284665.ogg,gallery
XC890585,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Paul Driver,4.0,-0.6756,-77.6014,data/BirdClef/train_audio/baffal1/XC890585.ogg,gallery
XC890584,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Paul Driver,4.0,-0.6756,-77.6014,data/BirdClef/train_audio/baffal1/XC890584.ogg,gallery
XC493782,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jerome Fischer,5.0,-0.623,-77.6028,data/BirdClef/train_audio/baffal1/XC493782.ogg,gallery
XC274919,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Robert S. Ridgely,4.0,-0.583,-75.483,data/BirdClef/train_audio/baffal1/XC274919.ogg,gallery
XC257391,baffal1,Micrastur ruficollis,Barred Forest-Falcon,John V. Moore,5.0,-0.548,-76.041,data/BirdClef/train_audio/baffal1/XC257391.ogg,gallery
XC257389,baffal1,Micrastur ruficollis,Barred Forest-Falcon,John V. Moore,5.0,-0.548,-76.041,data/BirdClef/train_audio/baffal1/XC257389.ogg,gallery
XC700035,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jerome Fischer,5.0,-0.532,-76.3389,data/BirdClef/train_audio/baffal1/XC700035.ogg,gallery
XC827142,baffal1,Micrastur ruficollis,Barred Forest-Falcon,rudy gelis,4.0,-0.4776,-77.2936,data/BirdClef/train_audio/baffal1/XC827142.ogg,gallery
XC904088,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jarol Fernando Vaca,3.0,-0.4723,-76.4591,data/BirdClef/train_audio/baffal1/XC904088.ogg,gallery
XC257392,baffal1,Micrastur ruficollis,Barred Forest-Falcon,John V. Moore,5.0,-0.472,-76.459,data/BirdClef/train_audio/baffal1/XC257392.ogg,gallery
XC257390,baffal1,Micrastur ruficollis,Barred Forest-Falcon,John V. Moore,5.0,-0.472,-76.459,data/BirdClef/train_audio/baffal1/XC257390.ogg,gallery
XC171371,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Martin St-Michel,5.0,-0.081,-78.7679,data/BirdClef/train_audio/baffal1/XC171371.ogg,gallery
XC163508,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Martin St-Michel,5.0,-0.081,-78.7679,data/BirdClef/train_audio/baffal1/XC163508.ogg,gallery
XC164874,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Martin St-Michel,4.0,-0.081,-78.7679,data/BirdClef/train_audio/baffal1/XC164874.ogg,gallery
XC164489,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Martin St-Michel,4.0,-0.081,-78.7679,data/BirdClef/train_audio/baffal1/XC164489.ogg,gallery
XC820946,baffal1,Micrastur ruficollis,Barred Forest-Falcon,rudy gelis,5.0,-0.0553,-78.7704,data/BirdClef/train_audio/baffal1/XC820946.ogg,gallery
XC387750,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jerome Fischer,5.0,-0.0436,-78.7767,data/BirdClef/train_audio/baffal1/XC387750.ogg,gallery
XC1038943,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Charlie Vogt,5.0,-0.0166,-78.9875,data/BirdClef/train_audio/baffal1/XC1038943.ogg,gallery
XC205535,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Jerome Fischer,5.0,0.0736,-78.7685,data/BirdClef/train_audio/baffal1/XC205535.ogg,gallery
XC860686,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José María Loaiza B.,4.0,0.0797,-78.6838,data/BirdClef/train_audio/baffal1/XC860686.ogg,gallery
XC71107,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Daniel Lane,3.0,0.258,-79.192,data/BirdClef/train_audio/baffal1/XC71107.ogg,gallery
XC955229,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Juan Freile,3.0,0.373,-79.6652,data/BirdClef/train_audio/baffal1/XC955229.ogg,gallery
XC322080,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Diego Calderon-F.,3.0,0.6937,-77.0935,data/BirdClef/train_audio/baffal1/XC322080.ogg,gallery
XC857998,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Juan Freile,5.0,0.885,-78.116,data/BirdClef/train_audio/baffal1/XC857998.ogg,gallery
XC72653,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Daniel Lane,4.0,0.892,-78.533,data/BirdClef/train_audio/baffal1/XC72653.ogg,gallery
XC681233,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Sergio Adrian Garcia-Murcia,5.0,3.5349,-76.7527,data/BirdClef/train_audio/baffal1/XC681233.ogg,gallery
XC117708,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José Agustín López (Colección de Sonidos Ambientales - Instituto Humboldt),5.0,3.8775,-76.432,data/BirdClef/train_audio/baffal1/XC117708.ogg,gallery
XC117707,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José Agustín López (Colección de Sonidos Ambientales - Instituto Humboldt),5.0,3.8775,-76.432,data/BirdClef/train_audio/baffal1/XC117707.ogg,gallery
XC117701,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José Agustín López (Colección de Sonidos Ambientales - Instituto Humboldt),5.0,3.8775,-76.432,data/BirdClef/train_audio/baffal1/XC117701.ogg,gallery
XC117700,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José Agustín López (Colección de Sonidos Ambientales - Instituto Humboldt),4.0,3.8775,-76.432,data/BirdClef/train_audio/baffal1/XC117700.ogg,gallery
XC117699,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José Agustín López (Colección de Sonidos Ambientales - Instituto Humboldt),4.0,3.8775,-76.432,data/BirdClef/train_audio/baffal1/XC117699.ogg,gallery
XC117696,baffal1,Micrastur ruficollis,Barred Forest-Falcon,José Agustín López (Colección de Sonidos Ambientales - Instituto Humboldt),3.0,3.8775,-76.432,data/BirdClef/train_audio/baffal1/XC117696.ogg,gallery
XC917443,baffal1,Micrastur ruficollis,Barred Forest-Falcon,Delaitre guillaume,3.0,4.0889,-52.6742,data/BirdClef/train_audio/baffal1/XC917443.ogg,gallery
